semana_epi;tipo_teste;uf;ultimo_dia_semana;testes_positivos;testes_negativos;testes_inconclusivos;testes_total;testes_com_resultado;testes_taxa_positivo
16;Teste rápido;GO;2020-04-18;19;97;0;116;116;0,1637931034482759
16;Teste rápido;MA;2020-04-18;102;396;0;499;498;0,2048192771084337
16;Teste rápido;MG;2020-04-18;160;593;0;754;753;0,2124833997343958
16;Teste rápido;MS;2020-04-18;13;48;0;61;61;0,2131147540983606
16;Teste rápido;MT;2020-04-18;24;152;0;177;176;0,1363636363636364
16;Teste rápido;PA;2020-04-18;114;285;0;409;399;0,2857142857142857
16;Teste rápido;PB;2020-04-18;131;439;0;571;570;0,2298245614035088
16;Teste rápido;PE;2020-04-18;124;105;0;231;229;0,5414847161572053
16;Teste rápido;PI;2020-04-18;63;424;0;487;487;0,1293634496919918
16;Teste rápido;PR;2020-04-18;25;7;0;32;32;0,7812500000000000
16;Teste rápido;RJ;2020-04-18;538;375;0;917;913;0,5892661555312158
16;Teste rápido;RN;2020-04-18;85;48;0;133;133;0,6390977443609023
16;Teste rápido;RO;2020-04-18;4;69;0;73;73;0,0547945205479452
16;Teste rápido;RR;2020-04-18;11;59;0;70;70;0,1571428571428571
16;Teste rápido;RS;2020-04-18;137;356;0;496;493;0,2778904665314402
16;Teste rápido;SC;2020-04-18;254;925;0;1179;1179;0,2154368108566582
16;Teste rápido;SE;2020-04-18;4;80;0;84;84;0,0476190476190476
16;Teste rápido;SP;2020-04-18;224;1140;0;1364;1364;0,1642228739002932
16;Teste rápido;TO;2020-04-18;5;79;0;84;84;0,0595238095238095
16;Outros;AL;2020-04-18;3;1;0;4;4;0,7500000000000000
16;Outros;BA;2020-04-18;0;1;0;1;1;0,0000000000000000
16;Outros;DF;2020-04-18;2;0;0;2;2;1,0000000000000000
16;Outros;MA;2020-04-18;3;2;0;5;5;0,6000000000000000
16;Outros;MG;2020-04-18;5;1;0;6;6;0,8333333333333334
16;Outros;MS;2020-04-18;0;1;0;1;1;0,0000000000000000
16;Outros;PA;2020-04-18;1;0;0;1;1;1,0000000000000000
16;Outros;PE;2020-04-18;2;1;0;3;3;0,6666666666666666
16;Outros;RJ;2020-04-18;18;0;0;18;18;1,0000000000000000
16;Outros;RO;2020-04-18;0;1;0;1;1;0,0000000000000000
